No.;Kode Barang;Nama Barang;Satuan;Harga;grup_target;satuan_tampil;liter_per_dus;kg_per_dus
1;A1A0111;Osmocote 6-13-25, 100 gr;dus;799.200;OSMOCOTE;kg;-;4
2;A1A0121;Osmocote 6-13-25, 500 gr;dus;1.605.060;OSMOCOTE;kg;-;12
3;A1A0201;Osmocote 13-13-13, 100 gr;dus;821.400;OSMOCOTE;kg;-;4
4;A1A0202;Osmocote 13-13-13, 500 gr;dus;1.704.960;OSMOCOTE;kg;-;12
5;A1A0311;Osmocote 17-11-10, 100 gr;dus;821.400;OSMOCOTE;kg;-;4
6;A1A0321;Osmocote 17-11-10, 500 gr;dus;1.704.960;OSMOCOTE;kg;-;12
7;A1B0204;Gandapan Maxima, 40 x 200 gr;dus;710.400;GANDAPAN;kg;-;8
8;A1B0305;Gandapan Reginae, 40 x 250 gr;dus;1.287.600;GANDAPAN;kg;-;10
9;A1B0401;Gandapan Sublima, 40 x 250 gr;dus;976.800;GANDAPAN;kg;-;10
10;A1B0501;Gandasil Bunga, 144 x 100 gr;dus;1.330.668;GANDASIL;kg;-;14,4
11;A1B0502;Gandasil Bunga, 24 x 500 gr;dus;1.038.960;GANDASIL;kg;-;12
12;A1B0601;Gandasil Daun, 144 x 100 gr;dus;1.198.800;GANDASIL;kg;-;14,4
13;A1B0602;Gandasil Daun, 24 x 500 gr;dus;932.400;GANDASIL;kg;-;12
15;;Gandastar ( Mix ), 20 x 500 cc;dus;399.600;GANDASTAR;liter;10;-
16;;Gandastar ( Mix ), 12 x 1000 cc;dus;452.880;GANDASTAR;liter;12;-
17;A1C0102;Dekorgan Plus, 24 x 500 cc;dus;1.043.400;DEKORGAN;liter;10;-
18;A1C0103;Dekorgan Plus, 12 x 1000 cc;dus;985.680;DEKORGAN;liter;12;-
19;A1C0207;Mastofol, 20 x 500 cc;dus;1.420.800;MASTOFOL;liter;10;-
20;A1C0208;Mastofol, 12 x 1.000 cc;dus;1.665.000;MASTOFOL;liter;12;-
21;A2D0201;Dekamon 1,2 G, 10 x 1 kg;dus;777.000;DEKAMON 1,2 G;kg;-;10
22;A2D0214;Dekamon 22,43 L, 50 x 100 cc ;dus;985.680;DEKAMON 22,43;liter;5;-
23;A2D0211;Dekamon 22,43 L, 20 x 500 cc ;dus;1.287.600;DEKAMON 22,43;liter;10;-
24;A2D0212;Dekamon 22,43 L, 12 x 1 L;dus;1.518.480;DEKAMON 22,43;liter;12;-
25;A3E0108;Dimacide 400 EC, 20 x 500 cc;dus;2.200.000;DIMACIDE;liter;10;-
26;A3E0303;Dekapirim 400 SC, 50 x 100 cc;dus;4.884.000;DEKAPIRIM;liter;5;-
27;A3E0301;Dekapirim 400 SC, 20 x 500 cc;dus;9.146.400;DEKAPIRIM;liter;10;-
28;A3E0302;Dekapirim 400 SC, 12 x 1000 cc;dus;10.642.680;DEKAPIRIM;liter;12;-
29;A3E0401;Dektin 30 WG, 50 x 50 gr;dus;3.885.000;DEKTIN;kg;-;2,5
30;A3E0402;Dektin 30 WG, 20 x 200 gr;dus;5.727.600;DEKTIN;kg;-;4
31;A3E0403;Dektin 30 WG, 12 x 500 gr;dus;8.178.480;DEKTIN;kg;-;6
32;A4F0202;Masalgin 50 WP, 24 x 100 gr;dus;1.145.520;MASALGIN;kg;-;2,4
33;A4F0210;Masalgin 50 WP, 24 x 200 gr;dus;2.264.400;MASALGIN;kg;-;4,8
34;A4F0204;Masalgin 50 WP, 12 x 500 gr;dus;2.384.280;MASALGIN;kg;-;6
35;A4F0306;Velimek 52,5 WP, 50 x 50 gr;dus;4.218.000;VELIMEK;kg;-;2,5
36;A4F0307;Velimek 52,5 WP, 20 x 200 gr;dus;6.549.000;VELIMEK;kg;-;4
37;A4F0308;Velimek 52,5 WP, 12 x 500 gr;dus;9.630.360;VELIMEK;kg;-;6
38;A70101;Dekabond, 50 x 100 cc;dus;1.276.500;DEKABOND;liter;5;-
39;A70102;Dekabond, 20 x 500 cc;dus;2.220.000;DEKABOND;liter;10;-
